STATISTIC,Statistic Label,YEAR,Year,FUNCTION,Type of function,BEDTYPE,Bed type,UNIT,VALUE,FLAG,Flag
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1615,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1685,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1634,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11755,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11417,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11116,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,10885,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11005,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11241,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,12931,B,Break in series
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13176,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13369,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13560,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13281,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13491,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13626,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,14010,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,14238,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,10656,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,10226,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9927,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9570,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9686,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9909,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11604,B,Break in series
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11808,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11988,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,12191,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11932,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,12156,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,12302,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,12654,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,12891,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1099,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1191,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1189,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1315,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1319,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1332,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1327,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1368,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1381,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1369,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1349,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1335,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1324,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1356,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,CURATIVE,Beds for curative care function,PSYCH,Psychiatric care type beds,Number,1347,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,126,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,129,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,129,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,132,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,140,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,161,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,159,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,167,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,179,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,179,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,177,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,160,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,146,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,156,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,REHAB,Beds for rehabilitative care function,TOT,All types of beds,Number,166,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,126,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,129,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,129,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,132,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,140,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,161,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,159,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,167,,
