,,,,,,,,,,,,,,,
Name,Address,Opening Hours,Day,,Source: ,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Midoc Edenderry,"Midoc Edenderry, Ofalia House, St Mary's Street, Edenderry, Offaly, R45 K726","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Midoc Longford,"Midoc Longford, St Joseph's Hospital, Dublin Road, Longford, N39 PW72","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Midoc Mullingar,"Regional Hospital Mullingar, Longford Road, Mullingar, Westmeath, N91 NA43","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Midoc Portlaoise,"Midoc Portlaoise, St Fintan's, Dublin Road, Portlaoise, Laois, R32 YH98","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Midoc Tullamore,"Midland Regional Hospital Tullamore, Arden Road, Tullamore, Offaly, R35 NY51","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nedoc Castleblaney,"Nedoc Castleblaney, Bree Road, Castleblayney, Monaghan, A75 E627","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nedoc Cavan,"Cavan Monaghan General Hospital, Lisdarn, Cavan Town, Cavan, H12 Y7W1","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nedoc Drogheda,"Nedoc Drogheda, Cottage Hospital, Scarlet Street, Drogheda, Louth, A92 V6XE","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nedoc Navan,"Nedoc Navan, Unit 2, Academy Square, Academy Street, Navan, Meath, C15 DD5D","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nowdoc Carndonagh,"Nowdoc Carndonagh, Carndonagh Community Hospital, Derry Road, Carndonagh, Donegal, F93 EW7T","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,"12am-6am, 6pm-12",Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nowdoc Carrick-on-Shannon,"Carrick-on-Shannon Primary and Mental Health Care Centre, Townparks, Carrick-on-Shannon, Leitrim, N41 E3C9","12am-8am, 6pm-12am",Monday- Thursday,,,,,,,,,,,,
,,"12am-3am, 6pm-12am",Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nowdoc Derrybeg,"Nowdoc Derrybeg, Magheragallan, Derrybeg, Donegal, F92 DN4X","12am-8am, 6pm-12am",Monday- Thursday,,,,,,,,,,,,
,,"12am-6am, 6pm-12",Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nowdoc Letterkenny,"Nowdoc Letterkenny, Errigal Chronic Disease Management (CDM) Hub, Kilmacrennan Road, Letterkenny, Donegal, F92 NP23","12am-8am, 6pm-12am",Monday- Thursday,,,,,,,,,,,,
,,"12am-6am, 6pm-12",Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Nowdoc Mountcharles,"Nowdoc Mountcharles, Upper Main Street, Mountcharles, Donegal, F94 NX8C","12am-8am, 6pm-12am",Monday- Thursday,,,,,,,,,,,,
,,"12am-6am, 6pm-12",Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Dooradoyle,"Dooradoyle Health Centre, St Nessan's Road, Limerick City, Limerick, V94 H662","12am-8am, 6pm-12am",Monday- Thursday,,,,,,,,,,,,
,,"12am-10am, 6pm-12am",Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Ennis,"Ennis Primary Care Centre, Station Road, Ennis, Clare, V95 TY4E","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Ennistymon,"Shannondoc Ennistymon, Ennistymon Community Hospital, Dough, Ennistymon, Clare, V95 CD58","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Hospital,"Hospital Health Centre, Knockainey Road, Hospital, Limerick, V35 EA44","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Kilrush,"Kilrush Health Centre, Fahy's Road, Kilrush, Clare, V15 FV18",9am-7pm,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Miltown Malbay,"Shannondoc Miltown Malbay, Medical Centre, Spanish Point Road, Miltown Malbay, Clare, V95 X72N","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Nenagh,"Shannondoc Nenagh, Wilton Medical Centre, Gortlandroe, Nenagh, Tipperary, E45 KR91","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Newcastle West,"Newcastlewest Health Centre, Gortboy, Newcastlewest, Limerick, V42 AN23","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Roscrea,"Roscrea Primary Care Centre, Grange, Roscrea, Tipperary, E53 X461",6pm-11pm,Monday- Friday,,,,,,,,,,,,
,,9am-10pm,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Shannon,"Shannon Health Centre, Shannon Town Centre, Shannon, Clare, V14 Y029",6pm-11pm,Monday- Friday,,,,,,,,,,,,
,,9am-10pm,Saturday- Sunday,,,,,,,,,,,,
Shannondoc Thurles,"Thurles Primary Care Centre, 22A Mitchel Street, Thurles, Tipperary, E41 R1X3",6pm-11pm,Monday- Friday,,,,,,,,,,,,
,,9am-10pm,Saturday- Sunday,,,,,,,,,,,,
Southdoc Bandon,"Bandon Primary Care Centre, Market Street, Bandon, Cork, P72 WD58","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Bantry,"Bantry Primary Care Centre, Droumleigh South, Bantry, Cork, P75 T611","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Caherciveen,"Southdoc Caherciveen, Caherciveen Day Care Centre, St Anne's Community Hospital, Caherciveen, Kerry, V23 P497","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Castleisland,"Southdoc Castleisland, Castleisland Day Care Centre, Chapel Lane, Castleisland, Kerry, V92 K138","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Castletownbere,"Southdoc Castletownbeare, Castletownbeare Day Care Centre, Derrymihan West, Castletownbere, Cork, P75 PW81","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Clonakilty,"Clonakilty Primary Care Centre, Clarke Street, Clonakilty, Cork, P85 XE93","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Cork City Blackpool,"Southdoc Cork City Blackpool, Unit GE, North Valley Business Centre, Mallow Road, Cork, T23 XD56","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Cork City Southside,"Southdoc Cork City Southside, Unit 17/18 South Ring Business Park, Kinsale Road, Kinsale Road, Cork, T12 N6KR","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Dingle,"Southdoc Dingle, Dingle Community Hospital, Farran, Dingle, Kerry, V92 PF65","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Dunmanway,"Southdoc Dunmanway, Dunmanway Community Hospital, Ballyhalwick, Dunmanway, Cork, P47 WN27","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Fermoy,"Southdoc Fermoy, Fermoy Community Hospital, Courthouse Road, Fermoy, Cork, P61 VW35","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Kanturk,"Southdoc Kanturk, Kanturk Health Centre, Hospital Hill, Kanturk, Cork, P51 H96H","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Kenmare,"Kenmare Primary Care Centre, Railway Road, Kenmare, Kerry, V93 Y05C","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Killarney,"Southdoc Killarney, Park Shopping Centre, Upper Park Road, Killarney, Kerry, V93 CVF9","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Killorglin,"Southdoc Killorglin, Killorglin Health Centre, Mill Road, Killorglin, Kerry, V93 WP46","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Kinsale,"Kinsale Primary Care Centre, Kinsale Quarter, New Road, Kinsale, Cork, P17 RY11","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Listowel,"Listowel Primary Care Centre, Convent Road, Listowel, Kerry, V31 VN25","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
